Candidate,Party,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee,Trump,Trump Date,Club for Growth,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women
Michelle L. Smith,DEM,Female,Black,,,No,Yes,Maryland,7/19/22,Senator,,"127,089",19%,Lost,,,,,,,,,,,,,,,,,,,,
Chris Van Hollen,DEM,Male,White,,,Yes,No,Maryland,7/19/22,Senator,,"535,014",81%,Won,,,,,,,,,,,,,,,,,,,,
R. David Harden,DEM,Male,White,,,No,No,Maryland,7/19/22,Representative,1,"15,683",31%,Lost,,,,No,,,,,,,,,,,,,,,,
Heather R. Mizeur,DEM,Female,White,,,No,No,Maryland,7/19/22,Representative,1,"34,549",69%,Won,,,,Yes,,,,,,,,,,,,,,,,
George Croom,DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,2,"8,465",10%,Lost,,,,,,,,,,,,,,,,,,,,
Marques Dent,DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,2,"7,728",9%,Lost,,,,,,,,,,,,,,,,,,,,
Liri Fusha,DEM,Female,White (Albanian),,,No,Yes,Maryland,7/19/22,Representative,2,"4,218",5%,Lost,,,,,,,,,,,,,,,,,,,,
C.A. Dutch Ruppersberger,DEM,Male,White,,,Yes,No,Maryland,7/19/22,Representative,2,"62,896",75%,Won,,,,,,,,,,,,,,,,,,,,
Ben R. Beardsley,DEM,Male,White,,,No,Yes,Maryland,7/19/22,Representative,3,"6,854",9%,Lost,,,,,,,,,,,,,,,,,,,,
Jake Pretot,DEM,Male,White,,,No,Yes,Maryland,7/19/22,Representative,3,"4,728",6%,Lost,,,,,,,,,,,,,,,,,,,,
John Sarbanes,DEM,Male,White,,,Yes,No,Maryland,7/19/22,Representative,3,"63,790",85%,Won,,,,,,,,,,,,,,,,,,,,
Tammy Allison,DEM,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"1,726",2%,Lost,,,,No,,,,,,,,,,,,,,,,
Angela M. Angel,DEM,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"4,678",6%,Lost,,,,No,,,,,,,,,,,,,,,,
"James Levi Curtis, Jr.",DEM,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,763,1%,Lost,,,,No,,,,,,,,,,,,,,,,
Donna F. Edwards,DEM,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"29,114",35%,Lost,,,,Yes,,,,,,,,,,,,,,,,
Matthew F. Fogg,DEM,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,663,1%,Lost,,,,No,,,,,,,,,,,,,,,,
Gregory Holmes,DEM,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,"1,024",1%,Lost,,,,No,,,,,,,,,,,,,,,,
Glenn F. Ivey,DEM,Male,Black,,,No,No,Maryland,7/19/22,Representative,4,"42,791",52%,Won,,,,No,,,,,,,,,,,,,,,,
Robert K. McGhee,DEM,Male,Unknown,,,No,No,Maryland,7/19/22,Representative,4,549,1%,Lost,,,,No,,,,,,,,,,,,,,,,
Kim A. Shelton,DEM,Female,Black,,,No,No,Maryland,7/19/22,Representative,4,"1,354",2%,Lost,,,,No,,,,,,,,,,,,,,,,
Steny Hoyer,DEM,Male,White,,,Yes,No,Maryland,7/19/22,Representative,5,"68,729",71%,Won,,,,,,,,,,,,,,,,,,,,
Keith Washington,DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,5,"9,222",10%,Lost,,,,,,,,,,,,,,,,,,,,
McKayla Wilkes,DEM,Female,Black,,,No,Yes,Maryland,7/19/22,Representative,5,"18,403",19%,Lost,,,,,,,,,,,,,,,,,,,,
George Gluck,DEM,Male,White,,,No,Yes,Maryland,7/19/22,Representative,6,"2,789",5%,Lost,,,,,,,,,,,,,,,,,,,,
Ben Smilowitz,DEM,Male,White,,,No,Yes,Maryland,7/19/22,Representative,6,"8,995",16%,Lost,,,,,,,,,,,,,,,,,,,,
David J. Trone,DEM,Male,White,,,Yes,No,Maryland,7/19/22,Representative,6,"44,370",79%,Won,,,,,,,,,,,,,,,,,,,,
Tashi Kimandus Davis,DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,7,"7,141",8%,Lost,,,,,,,,,,,,,,,,,,,,
Elihu Eli El,DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,7,"1,885",2%,Lost,,,,,,,,,,,,,,,,,,,,
Kweisi Mfume,DEM,Male,Black,,,Yes,No,Maryland,7/19/22,Representative,7,"80,118",85%,Won,,,,,,,,,,,,,,,,,,,,
"Wayne ""For Freedom"" McNeal",DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,7,"4,890",5%,Lost,,,,,,,,,,,,,,,,,,,,
Andalib Odulate,DEM,Male,Black,,,No,Yes,Maryland,7/19/22,Representative,8,"7,075",6%,Lost,,,,,,,No,,,,,,,,,,,,,
Jamie Raskin,DEM,Male,White,,,Yes,No,Maryland,7/19/22,Representative,8,"109,055",94%,Won,,,,,,,Yes,,,,,,,,,,,,,
Rushern L. Baker III,DEM,Male,Black,,,No,No,Maryland,7/19/22,Governor,,"26,594",4%,Lost,,,,,,,,,,,,,,,,,,,,
Jon Baron,DEM,Male,White,,,No,No,Maryland,7/19/22,Governor,,"11,880",2%,Lost,,,,,,,,,,,,,,,,,,,,
Peter Franchot,DEM,Male,White,,,No,No,Maryland,7/19/22,Governor,,"141,586",21%,Lost,,,,,,,,,,,,,,,,,,,,
Douglas F. Gansler,DEM,Male,White,,,No,No,Maryland,7/19/22,Governor,,"25,481",4%,Lost,,,,,,,,,,,,,,,,,,,,
Ralph W. Jaffe,DEM,Male,White,,,No,No,Maryland,7/19/22,Governor,,"2,978",0%,Lost,,,,,,,,,,,,,,,,,,,,
Ashwani Jain,DEM,Male,Asian (Indian),,,No,No,Maryland,7/19/22,Governor,,"13,784",2%,Lost,,,,,,,,,,,,,,,,,,,,
John King,DEM,Male,Black,Latino,,No,No,Maryland,7/19/22,Governor,,"24,882",4%,Lost,,,,,,,,,,,,,,,,,,,,
Wes Moore,DEM,Male,Black,,,No,No,Maryland,7/19/22,Governor,,"217,524",32%,Won,,,,,,,,,,,,,,,,,,,,
Tom Perez,DEM,Male,Latino (Dominican),,,No,No,Maryland,7/19/22,Governor,,"202,175",30%,Lost,,,,,,,,,,,,,,,,,,,,
Jerome M. Segal,DEM,Male,White,,,No,No,Maryland,7/19/22,Governor,,"4,276",1%,Lost,,,,,,,,,,,,,,,,,,,,
Chris Chaffee,REP,Male,White,,,No,No,Maryland,7/19/22,Senator,,"50,514",21%,Won,,,,,,,,,,,,,,,,,,,,
George Davis,REP,Male,White,,,No,No,Maryland,7/19/22,Senator,,"21,095",9%,Lost,,,,,,,,,,,,,,,,,,,,
Nnabu Eze,REP,Male,Black (Nigerian),,,No,No,Maryland,7/19/22,Senator,,"9,917",4%,Lost,,,,,,,,,,,,,,,,,,,,
Lorie R. Friend,REP,Female,White,,,No,No,Maryland,7/19/22,Senator,,"35,714",15%,Lost,,,,,,,,,,,,,,,,,,,,
Reba A. Hawkins,REP,Female,Black,,,No,No,Maryland,7/19/22,Senator,,"18,057",7%,Lost,,,,,,,,,,,,,,,,,,,,
Jon McGreevey,REP,Male,White,,,No,No,Maryland,7/19/22,Senator,,"14,128",6%,Lost,,,,,,,,,,,,,,,,,,,,
Joseph Perez,REP,Male,Asian (Filipino),,,No,No,Maryland,7/19/22,Senator,,"26,359",11%,Lost,,,,,,,,,,,,,,,,,,,,
Todd A. Puglisi,REP,Male,White,,,No,No,Maryland,7/19/22,Senator,,"13,550",6%,Lost,,,,,,,,,,,,,,,,,,,,
James Tarantin,REP,Male,Middle Eastern (Israeli),,,No,No,Maryland,7/19/22,Senator,,"20,514",8%,Lost,,,,,,,,,,,,,,,,,,,,
John Thormann,REP,Male,White,,,No,No,Maryland,7/19/22,Senator,,"33,290",14%,Lost,,,,,,,,,,,,,,,,,,,,
Andy Harris,REP,Male,White,,,Yes,No,Maryland,7/19/22,Representative,1,"67,933",100%,Won,,,,,,,,,,,,,,,,,,,,
Nicolee Ambrose,REP,Female,White,,,No,No,Maryland,7/19/22,Representative,2,"12,201",32%,Won,,,,,,,,,,,,,,,,,,,Yes,
Berney Flowers,REP,Male,Black,,,No,No,Maryland,7/19/22,Representative,2,"4,983",13%,Lost,,,,,,,,,,,,,,,,,,,No,
Michael A. Geppi,REP,Male,White,,,No,No,Maryland,7/19/22,Representative,2,"5,595",15%,Lost,,,,,,,,,,,,,,,,,,,No,
Lance Griffin,REP,Male,White,,,No,No,Maryland,7/19/22,Representative,2,"3,192",8%,Lost,,,,,,,,,,,,,,,,,,,No,
"Ellen ""EJ"" McNulty",REP,Female,White,,,No,No,Maryland,7/19/22,Representative,2,"4,204",11%,Lost,,,,,,,,,,,,,,,,,,,No,
Dave Wallace,REP,Male,White,,,No,No,Maryland,7/19/22,Representative,2,"7,643",20%,Lost,,,,,,,,,,,,,,,,,,,No,
"Thomas E. ""Pinkston"" Harris",REP,Male,Black,,,No,No,Maryland,7/19/22,Representative,3,"4,966",13%,Lost,,,,,,,,,,,,,,,,,,,No,
